price,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,zipcode,living_measure15,lot_measure15,furnished,have_basement,Is_renovated,Age_of_house,SN_region,EW_region
1450000,3,4.5,3970,24920,2.0,0,2,3,10,3260,98034,2610,13838,1,1,1,38,EN,MW
645000,4,2.0,2780,11583,1.0,0,3,3,8,1190,98125,2580,10241,0,1,0,60,EN,MW
224000,3,1.75,1500,11968,1.0,0,0,3,6,1500,98010,1320,11303,0,0,0,0,MS,EE
675000,4,2.5,2370,9679,2.0,0,0,3,8,2370,98027,2290,7944,0,0,0,31,EN,EE
323000,3,2.5,1890,6560,2.0,0,0,3,7,1890,98038,2390,7570,0,0,0,12,MS,EE
630100,4,2.75,1910,11356,1.0,0,0,5,7,1160,98033,1770,11357,0,1,0,38,EN,ME
673000,4,2.25,2590,8190,2.0,0,0,4,8,2590,98006,2260,8335,0,0,0,34,EN,ME
471000,3,1.75,1640,10123,1.0,0,0,3,8,1340,98011,2210,10852,0,1,0,38,EN,ME
399950,3,1.5,2080,5244,1.0,0,0,3,7,1190,98125,1850,6982,0,1,0,55,EN,MW
429950,4,2.5,2320,4524,2.0,0,0,3,8,2320,98059,2330,4524,0,0,0,10,MN,ME
575000,2,1.0,1230,2726,1.5,0,0,3,7,880,98117,1710,3750,0,1,0,94,EN,EW
630000,3,2.5,2320,32772,2.0,0,0,3,9,2320,98053,2610,33305,1,0,0,22,EN,EE
778000,3,2.25,2260,33080,1.0,0,0,5,9,1690,98005,3020,35291,1,1,0,40,EN,ME
775000,4,2.75,2740,6200,1.5,0,3,4,8,1820,98125,2430,6000,0,1,0,67,EN,MW
380000,4,2.5,2420,4981,2.0,0,0,3,9,2420,98038,2420,5000,1,0,0,6,MS,EE
249500,2,1.0,900,4500,1.0,0,0,3,6,900,98055,860,4500,0,0,0,64,MN,ME
398950,4,3.0,3000,10297,2.0,0,0,3,8,3000,98042,2520,8366,0,0,0,11,MS,EE
612000,3,3.0,2330,10327,1.0,0,0,3,9,2330,98034,2200,4629,1,0,0,16,EN,ME
294000,4,2.25,2190,3746,2.0,0,0,3,8,2190,98038,2200,3591,0,0,0,9,MS,EE
287500,3,2.0,1760,7147,1.0,0,0,4,6,880,98055,1720,7147,0,1,0,79,MN,MW
379900,4,2.5,3181,5831,2.0,0,0,3,8,3181,98003,2056,24393,0,0,0,1,MS,MW
529900,5,2.25,3030,9430,2.0,0,0,4,8,2600,98133,2230,8425,0,1,0,53,EN,EW
325000,3,1.75,1010,7171,1.0,0,0,4,7,1010,98034,1250,7560,0,0,0,47,EN,MW
605000,3,2.5,2960,18600,2.0,0,0,3,8,2960,98166,2740,15681,0,0,0,35,MN,EW
215000,3,1.75,1280,10016,1.0,0,0,4,7,1280,98003,1670,9764,0,0,0,39,MS,EW
270000,3,2.5,1350,1189,2.0,0,0,3,7,1080,98106,1300,1182,0,1,0,8,MN,EW
325000,3,2.5,1870,9825,1.0,0,0,4,7,1250,98045,1380,11475,0,1,0,20,MN,EE
574000,4,2.5,3240,22795,2.0,0,0,3,8,3240,98053,2570,29761,0,0,0,16,EN,EE
496000,2,1.0,900,9260,1.0,0,0,3,7,900,98107,1230,6913,0,0,0,68,EN,EW
537000,3,1.75,1550,10050,1.0,0,0,5,7,1550,98008,1720,10050,0,0,0,58,EN,ME
794500,5,3.0,3030,4120,1.5,0,0,4,7,1930,98115,1280,3090,0,1,0,102,EN,MW
536500,4,1.75,2000,4000,1.5,0,0,5,7,1450,98126,1430,4000,0,1,0,88,EN,EW
497500,5,1.5,2170,8610,1.0,0,0,4,7,1230,98008,1670,8610,0,1,0,55,EN,ME
635000,4,2.5,2500,10215,2.0,0,0,3,9,2500,98075,2890,10240,1,0,0,17,EN,EE
454000,3,1.0,1970,22144,1.0,0,0,4,7,1970,98065,1970,13500,0,0,0,44,MN,EE
620000,4,3.0,2130,6325,1.0,0,0,5,7,1440,98116,1240,6325,0,1,0,66,EN,EW
415000,3,1.75,1070,8000,1.0,0,0,3,7,1070,98052,1200,7990,0,0,0,37,EN,ME
1110000,5,3.25,3350,4000,2.0,0,0,4,8,2510,98105,1620,4000,0,1,0,17,EN,MW
417400,3,3.0,2680,12285,1.0,0,0,4,8,2680,98055,2610,9558,0,0,0,44,MN,ME
525000,3,2.0,1600,16530,1.0,0,0,5,7,1600,98075,1850,41006,0,0,0,47,EN,EE
461500,5,3.25,2820,3275,2.0,0,0,3,8,2230,98118,2610,3275,0,1,0,9,MN,MW
409950,3,1.75,1320,6030,1.0,0,0,4,7,1320,98052,1840,6565,0,0,0,45,EN,ME
242000,2,1.0,960,21850,1.0,0,0,3,6,960,98032,1020,21850,0,0,0,67,MN,MW
600000,3,2.5,2680,43995,2.0,0,0,3,9,2680,98077,2520,37277,1,0,0,28,EN,EE
900000,4,3.0,3810,217800,2.0,0,0,3,9,3810,98077,2580,217364,1,0,0,12,EN,EE
767500,6,3.5,2410,6000,2.0,0,4,3,9,2220,98136,1980,6000,1,1,1,98,MN,EW
469775,2,1.75,1530,7020,1.0,0,0,3,7,1030,98199,2090,6600,0,1,0,72,EN,EW
205000,3,1.0,1120,8342,1.0,0,0,4,7,1120,98042,1190,6660,0,0,0,39,MS,ME
672000,3,1.0,1220,8573,1.0,0,0,4,7,1220,98004,1390,8573,0,0,0,60,EN,ME
275000,2,1.0,940,5000,1.0,0,0,3,6,940,98126,940,5000,0,0,0,63,MN,EW
385000,4,1.75,1620,4980,1.0,0,0,4,7,860,98133,1400,4980,0,1,0,67,EN,EW
1200000,5,2.75,3650,13297,2.0,0,0,5,9,2750,98040,2900,11568,1,1,0,45,MN,MW
691500,4,2.5,2600,7200,2.0,0,0,3,7,2600,98115,1790,6175,0,0,1,52,EN,MW
690000,4,2.0,2230,5000,1.5,0,0,4,7,1510,98144,2140,5000,0,1,0,92,EN,MW
360000,3,1.5,1340,1110,2.0,0,0,3,7,1040,98117,1220,1110,0,1,0,15,EN,EW
220000,3,1.5,1070,9331,1.0,0,0,3,6,1070,98155,1480,8400,0,0,0,58,EN,MW
630000,4,1.75,1930,10210,1.5,0,2,3,8,1670,98125,2730,6600,0,1,0,73,EN,MW
232000,3,1.75,1290,6604,1.0,0,0,3,7,1290,98023,1440,6682,0,0,0,30,MS,EW
330000,2,1.0,880,4000,1.0,0,0,3,6,780,98117,950,4000,0,1,0,77,EN,EW
320000,4,2.5,2130,9653,1.0,0,0,3,7,1500,98031,2000,7988,0,1,0,37,MN,ME
1280000,6,5.25,6160,27490,2.0,0,0,3,11,4040,98074,4225,9100,1,1,0,7,EN,EE
498000,3,2.5,2480,4136,2.0,0,0,3,8,2480,98059,2510,4314,0,0,0,5,MN,ME
115000,2,1.0,1000,16524,1.0,0,0,3,5,1000,98001,1350,10208,0,0,0,101,MS,MW
300000,4,2.5,2090,5195,2.0,0,0,3,7,2090,98031,2090,5236,0,0,0,7,MS,ME
2300000,4,4.75,3970,9778,2.0,0,2,4,11,3390,98119,3970,8460,1,1,0,86,EN,EW
750000,3,2.25,2250,5301,2.0,0,0,4,8,1510,98115,2240,7200,0,1,0,39,EN,MW
499950,3,3.5,1820,1991,2.0,0,0,3,8,1430,98144,1550,1460,0,1,0,0,EN,MW
350000,4,1.75,1820,6930,1.0,0,2,4,7,1320,98178,1820,6825,0,1,0,62,MN,MW
855000,5,3.25,3420,5669,2.0,0,0,3,9,2620,98027,3310,6006,1,1,0,11,MN,EE
699000,3,1.75,1670,5375,1.0,0,0,3,7,1270,98199,1460,6125,0,1,0,62,EN,EW
500000,3,1.75,1570,8530,1.0,0,0,4,7,1190,98033,1530,8708,0,1,0,31,EN,ME
310000,3,1.75,1490,9120,1.0,0,0,5,7,1490,98059,1340,8040,0,0,0,55,MN,ME
740000,3,2.5,2960,9350,2.0,0,2,4,9,2960,98008,2960,11745,1,0,0,36,EN,EE
430000,3,2.5,2360,6699,2.0,0,0,3,7,2360,98065,2360,4744,0,0,0,11,MN,EE
339950,3,1.0,1050,5402,1.5,0,0,4,7,1050,98144,1510,4685,0,0,0,108,EN,MW
514000,3,1.5,1610,9964,1.0,0,0,3,7,1080,98052,1610,9964,0,1,0,38,EN,ME
665000,4,2.75,2420,7102,1.0,0,0,5,7,1670,98177,1620,7102,0,1,0,68,EN,EW
375000,5,1.75,2230,7560,1.0,0,0,3,7,1230,98178,1380,6570,0,1,0,56,MN,MW
750000,5,2.75,3330,12408,1.0,0,0,3,10,1740,98074,2780,12000,1,1,0,39,EN,EE
630000,4,2.5,2290,26720,2.0,0,0,3,8,2290,98177,2290,26720,0,0,0,37,EN,EW
465000,2,2.75,1430,1425,2.0,0,0,3,7,995,98112,1500,1749,0,1,0,8,EN,MW
580000,6,1.75,2180,4000,1.5,0,0,4,7,1380,98105,1720,4000,0,1,0,88,EN,MW
450000,3,2.5,2880,426452,2.0,0,3,3,7,2880,98092,1460,320890,0,0,0,36,ES,EE
800000,3,2.75,2220,4000,2.0,0,0,3,8,1700,98122,1800,4000,0,1,1,100,EN,MW
410000,3,1.0,1410,5060,1.0,0,0,4,7,910,98133,1130,5693,0,1,0,58,EN,EW
827000,3,2.5,1850,1330,2.5,0,0,3,9,1560,98115,1810,2071,1,1,0,11,EN,MW
447000,2,1.0,850,2700,1.0,0,0,5,6,850,98105,1630,3000,0,0,0,90,EN,MW
169950,3,1.0,1180,9832,1.0,0,0,3,7,1180,98042,1220,9894,0,0,0,44,MS,EE
710000,4,3.5,2850,2910,2.0,0,2,3,8,1970,98115,1460,3880,0,1,1,110,EN,MW
594000,4,2.75,2720,4613,2.0,0,0,3,9,2720,98028,2830,4836,1,0,0,9,EN,MW
428000,3,2.25,2600,15000,2.0,0,0,3,9,2600,98038,2380,15000,1,0,0,37,MS,EE
486000,4,3.0,2260,7336,2.0,0,0,4,7,2260,98034,2200,7724,0,0,0,38,EN,MW
345000,3,2.5,2340,8414,1.0,0,0,3,7,1280,98188,2340,7268,0,1,0,22,MN,MW
460000,3,2.0,2930,29136,2.0,0,0,3,8,2240,98010,2110,29362,0,1,0,25,MS,EE
330000,3,1.0,1570,9136,1.0,0,0,3,7,1570,98133,1380,9127,0,0,0,61,EN,EW
802000,4,2.25,2130,8734,2.0,0,2,4,8,2130,98006,2550,8800,0,0,0,53,EN,ME
550000,3,1.75,1840,9401,1.0,0,0,3,8,1840,98075,2850,14323,0,0,0,43,EN,EE
762500,5,3.5,3290,5880,2.0,0,0,3,9,2670,98052,3090,5680,1,1,0,10,EN,ME
620000,4,2.25,1890,4300,1.5,0,0,3,7,1350,98103,1830,3800,0,1,0,97,EN,EW
635000,3,1.75,1210,4400,1.5,0,0,4,8,1210,98105,2020,3750,0,0,0,85,EN,MW
630000,6,3.0,2470,9328,2.0,0,0,3,8,2470,98007,2470,9454,0,0,0,32,EN,ME
650000,4,2.75,1910,16532,1.0,0,0,4,7,1420,98117,2300,8250,0,1,0,74,EN,EW
425000,3,1.0,1010,5864,1.0,0,0,3,7,1010,98116,1290,5000,0,0,0,100,EN,EW
451000,2,1.0,900,6000,1.0,0,0,3,7,900,98115,1460,4800,0,0,1,70,EN,MW
450000,3,1.75,1740,6800,1.5,0,0,4,7,1740,98126,990,6800,0,0,0,65,MN,EW
571000,4,1.0,1350,4000,1.5,0,0,3,8,1350,98117,1520,4000,0,0,0,84,EN,EW
346300,4,2.5,2590,11018,2.0,0,0,3,8,2590,98092,2400,8042,0,0,0,17,MS,MW
500000,4,2.0,2100,12620,1.0,0,0,4,7,2100,98034,1720,7840,0,0,0,42,EN,ME
825000,3,2.5,3760,5260,2.0,0,0,3,9,3230,98029,3080,5312,1,1,0,12,MN,EE
399950,3,1.75,2450,15001,1.0,0,0,3,7,1980,98014,1790,15323,0,1,0,25,EN,EE
725000,3,3.5,3690,8837,2.0,0,0,3,10,3690,98065,3690,9585,1,0,0,13,MN,EE
299900,3,2.25,1560,35026,1.0,0,0,3,7,1290,98092,1660,35160,0,1,0,30,MS,EE
395000,3,3.5,1450,1263,2.0,0,0,3,8,1160,98199,1390,1282,0,1,0,7,EN,EW
135000,1,1.0,790,13062,1.0,0,0,3,6,790,98168,1240,7137,0,0,0,72,MN,MW
525000,4,1.75,1600,7400,1.0,0,0,3,7,1210,98125,1640,7500,0,1,0,42,EN,MW
340000,3,2.0,1570,14992,1.0,0,0,3,8,1570,98014,1640,15000,0,0,0,13,EN,EE
275000,2,1.5,1270,32175,1.0,0,0,4,7,1270,98003,1270,10200,0,0,0,68,MS,MW
870000,4,4.25,3010,4887,2.0,0,3,4,10,1940,98115,2540,9375,1,1,1,63,EN,MW
730000,3,1.75,1650,5000,1.5,0,0,4,8,1650,98107,1630,5000,0,0,0,115,EN,EW
480000,2,1.0,710,4800,1.0,0,0,2,6,710,98112,1480,1721,0,0,0,65,EN,MW
435000,3,2.0,1380,2500,1.0,0,0,3,7,750,98107,1630,3800,0,1,0,28,EN,EW
1400000,3,2.5,2910,10044,2.0,0,0,4,10,2910,98004,2420,12287,1,0,0,26,EN,ME
939000,4,2.25,2240,9684,2.0,0,0,4,9,2240,98040,2440,9618,1,0,0,45,MN,MW
435010,3,1.0,1270,4000,1.0,0,0,3,7,1120,98106,1220,4600,0,1,0,61,MN,EW
607010,4,2.5,2180,4000,2.0,0,0,3,8,1700,98118,2180,4000,0,1,0,12,MN,MW
608000,4,2.5,2690,4736,2.0,0,0,3,7,2690,98053,2690,4791,0,0,0,13,EN,EE
214950,3,1.0,1400,6600,1.0,0,0,3,6,1280,98168,1730,6600,0,1,0,60,MN,EW
305000,2,1.0,1290,3383,2.0,0,0,3,7,1290,98053,1290,2828,0,0,0,7,EN,EE
408000,2,2.0,1200,3900,1.0,0,0,3,8,1200,98053,1440,5580,0,0,0,9,EN,EE
286950,4,2.5,2080,9846,1.0,0,0,3,7,1240,98001,1890,7977,0,1,0,31,MS,MW
575000,3,1.75,1580,11750,1.0,0,0,4,7,1180,98118,2150,11750,0,1,0,63,MN,MW
261500,3,1.0,1410,8174,1.0,0,0,3,8,1410,98056,1500,8058,0,0,0,57,MN,ME
158000,3,2.0,1090,6090,1.0,0,0,3,7,940,98118,1840,6090,0,1,0,75,MN,MW
957000,4,3.0,2370,3836,2.0,0,0,3,9,1750,98107,1690,4698,1,1,1,45,EN,EW
345000,3,2.5,1620,5992,2.0,0,0,3,7,1620,98019,1620,4644,0,0,0,13,EN,EE
617450,3,2.0,1580,14398,1.0,0,0,3,7,1080,98005,1650,14407,0,1,0,34,EN,ME
1670000,5,3.5,4320,40816,2.0,0,0,4,11,4320,98004,4320,44584,1,0,0,18,EN,ME
345000,3,2.5,1870,3584,2.0,0,0,3,8,1870,98058,1900,3920,0,0,0,11,MN,ME
250000,3,1.75,1590,7560,1.0,0,0,3,7,1130,98031,1500,7560,0,1,0,30,MS,ME
510000,4,1.5,1320,14250,1.0,0,0,4,7,1320,98033,1720,14250,0,0,0,60,EN,ME
520000,3,2.25,2590,9263,1.0,0,0,5,8,1440,98028,2580,9450,0,1,0,37,EN,MW
340000,3,1.75,1960,8136,1.0,0,0,3,7,980,98106,1070,7480,0,1,0,66,MN,EW
650000,3,2.5,1910,4363,2.0,0,0,3,9,1910,98029,1890,3732,1,0,0,8,MN,EE
300000,3,1.0,1300,20812,1.0,0,0,3,6,1300,98106,1210,17340,0,0,0,87,MN,EW
212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,98092,1420,7680,0,0,0,29,MS,ME
222000,2,1.0,1550,38449,1.0,0,0,3,6,1550,98055,1188,25875,0,0,0,68,MN,ME
305000,3,1.0,1030,5350,1.0,0,0,3,7,1030,98055,1030,5250,0,0,1,90,MN,MW
643500,3,2.0,1650,7104,2.0,0,0,3,8,1650,98177,1730,7104,0,0,1,69,EN,EW
410000,3,1.0,1230,7020,1.0,0,0,3,7,1090,98116,1390,5850,0,1,0,90,EN,EW
420000,2,1.0,1000,5375,1.0,0,0,3,7,1000,98118,1380,5000,0,0,0,62,MN,MW
308000,4,2.25,1960,12243,2.0,0,0,3,8,1960,98042,1910,12230,0,0,0,25,MS,EE
428000,2,2.0,1350,4225,1.0,0,0,3,8,1350,98053,1660,4225,0,0,0,11,EN,EE
357500,3,1.75,1630,9403,1.0,0,0,3,7,1630,98155,1430,8461,0,0,0,31,EN,MW
305000,3,2.25,2110,7665,1.0,0,0,4,7,1360,98023,1660,8436,0,1,0,41,MS,EW
649000,3,2.0,1530,1442,3.0,0,0,3,9,1530,98107,1620,1456,1,0,0,0,EN,EW
835000,5,4.0,3600,14720,1.0,0,2,5,8,1800,98034,3600,15358,0,1,0,54,EN,MW
250000,1,1.0,750,4000,1.0,0,0,3,6,750,98136,1770,4850,0,0,0,96,MN,EW
259950,3,1.5,1240,9500,1.0,0,0,4,7,1240,98166,1845,10125,0,0,0,59,MN,EW
453000,3,2.5,1820,16300,1.0,0,0,4,7,1220,98166,1870,16300,0,1,0,60,MN,EW
410000,3,2.0,1410,8088,1.0,0,0,3,7,1410,98034,1770,7401,0,0,0,27,EN,MW
403000,3,1.75,1270,10790,1.0,0,0,3,7,1270,98033,1270,10790,0,0,0,58,EN,ME
549900,5,3.0,3610,7555,2.0,0,0,3,8,3610,98038,3610,7979,0,0,0,11,MS,EE
463000,3,1.0,1250,7700,1.0,0,0,4,7,1250,98007,1520,7700,0,0,0,60,EN,ME
375000,3,1.0,1310,8400,1.0,0,0,3,7,1310,98034,1680,8000,0,0,1,43,EN,ME
675750,4,2.5,2770,10274,2.0,0,0,3,9,2770,98029,2270,7210,1,0,0,25,EN,EE
252000,3,1.75,2050,11313,1.0,0,0,3,7,1520,98023,1620,8065,0,1,0,27,MS,EW
552500,4,1.0,1560,7980,1.0,0,0,4,7,1170,98146,1570,7980,0,1,0,76,MN,EW
369950,3,1.0,1110,7603,1.0,0,0,3,7,1110,98034,1260,8094,0,0,0,47,EN,MW
910000,3,2.5,2720,7250,2.0,0,0,3,9,2720,98033,2870,7250,1,0,0,25,EN,ME
379000,2,1.0,930,5400,1.0,0,0,3,7,930,98117,1050,5400,0,0,0,62,EN,EW
440000,3,1.75,1500,6180,1.0,0,0,4,6,1060,98118,1740,6180,0,1,0,67,EN,MW
1080000,4,3.5,3990,5267,2.0,0,0,3,10,3990,98006,3230,6481,1,0,0,6,EN,ME
784000,4,2.75,3540,7091,1.5,0,1,4,8,1970,98199,2200,6000,0,1,0,67,EN,EW
579000,3,1.75,1800,4429,2.0,0,0,4,7,1800,98103,1310,4429,0,0,0,108,EN,EW
378000,3,2.5,1650,2082,3.0,0,0,3,8,1650,98133,1650,1965,0,0,0,7,EN,EW
349900,3,2.5,1580,2765,2.0,0,0,3,8,1580,98126,1580,1820,0,0,0,3,MN,EW
265000,2,1.0,770,5160,1.0,0,0,3,6,770,98106,920,5160,0,0,0,71,MN,EW
799000,3,1.5,2210,6300,1.5,0,0,5,8,2210,98144,2700,6300,0,0,0,98,EN,MW
215000,3,2.0,1760,9282,1.0,0,0,5,7,1100,98001,1730,7500,0,1,0,67,MS,MW
389950,2,1.0,820,4234,1.0,0,1,3,6,820,98136,1550,4236,0,0,0,64,MN,EW
353000,5,2.75,2130,5000,1.0,0,0,5,7,1100,98118,1340,6837,0,1,0,36,MN,MW
299000,3,1.0,960,8100,1.0,0,0,3,7,960,98155,1080,8100,0,0,0,59,EN,MW
322000,3,1.0,1230,9660,1.0,0,0,3,7,1230,98053,1380,10125,0,0,0,47,EN,EE
300000,3,2.5,2020,6628,1.0,0,0,4,7,1250,98168,1540,9995,0,1,0,51,MN,EW
199000,3,1.0,1390,21262,1.0,0,0,3,7,1390,98058,1560,10800,0,0,0,57,MN,ME
960000,4,2.5,2820,5934,1.0,0,3,5,9,1770,98116,2230,6000,1,1,0,62,EN,EW
215000,3,2.0,1340,8505,1.0,0,0,3,6,1340,98168,1370,9000,0,0,0,83,MN,MW
818000,3,3.25,2200,4800,2.0,0,2,3,7,1910,98103,1410,4800,0,1,1,72,EN,EW
299000,3,2.5,1590,3121,2.0,0,0,3,7,1590,98118,1090,4900,0,0,0,20,MN,MW
550000,4,2.0,2070,9822,1.0,0,0,5,7,2070,98006,1300,9572,0,0,0,60,EN,ME
340000,4,2.5,2360,7475,2.0,0,0,3,8,2360,98031,2280,7570,0,0,0,22,MS,ME
699900,4,2.5,2190,11500,1.0,0,0,4,8,1430,98006,2580,9700,0,1,0,42,EN,ME
597500,4,3.0,1890,35280,1.0,0,0,3,9,1510,98052,2730,34525,1,1,0,36,EN,EE
425000,4,2.0,1490,5300,1.0,0,0,3,7,1110,98144,1330,1499,0,1,0,37,EN,MW
1430000,4,5.0,4630,24054,2.0,0,3,3,11,4630,98075,4630,17584,1,0,0,10,EN,EE
245000,3,2.5,1610,7223,2.0,0,0,3,7,1610,98030,1610,7162,0,0,0,20,MS,ME
925000,5,3.5,3420,4216,2.0,0,0,3,9,2520,98115,1420,4500,1,1,0,6,EN,MW
250000,2,1.0,1420,21158,1.0,0,0,3,7,1420,98166,1220,8625,0,0,0,61,MN,EW
619850,4,2.5,2270,9247,1.0,0,0,5,8,1500,98006,2270,9163,0,1,0,42,EN,ME
1690000,4,2.5,3000,7500,2.0,0,0,3,9,3000,98105,2580,5000,1,0,1,77,EN,MW
